단지코드,unit_price,장충금 월부과액,장충금 총적립금액,장충금 적립률
A10020936,234.2567379705105,2123200,242031536.0,0.0
A46383329,256.5730752688172,14913310,1361323264.0,0.3
A10024278,310.28681742967456,11813550,589497600.0,2.0
A10024068,200.9043681085666,7579720,389691008.0,4.1
A10022953,48.11359724612737,559080,225459296.0,0.51
A46384802,372.7928116184307,11132160,901055040.0,0.0
A46374608,0.0,0,0.0,0.0
A46374607,0.0,0,0.0,0.0
A46374606,148.6889797614438,15744230,1390471040.0,0.0
A46386705,490.3909231870229,16445750,366813248.0,0.0
A46374603,337.01589260916523,10921000,804033792.0,0.0
A46374805,617.8754546087926,44341832,1358235648.0,25.0
A46374602,444.43156979959446,16876400,557919936.0,0.0
A46374601,342.39706071935024,13279870,1256551040.0,19.6
A10022299,193.15186246418338,11796750,23593500.0,0.0
A46383201,461.69402248036494,7853600,484651360.0,10.0
A46379112,300.01227273926395,5231320,170260944.0,0.0
A46381702,172.48814144027597,1720000,279644544.0,0.0
A46378823,328.223980043982,30000000,453808992.0,0.0
A10023042,384.5922315486527,9364050,160880736.0,0.02
A46371710,424.77183079812,38229040,324297952.0,0.0
A46384716,420.7390848738896,44478912,2620234240.0,2.55
A46371606,485.48533964669457,15994800,1028513728.0,0.0
A46385822,336.28083501438164,39653392,2302933760.0,1.0
A46386717,829.24190970835,33209480,392875168.0,0.0
A46386710,278.8455472143791,11768230,931399872.0,0.0
A10024048,258.1415239503607,12917660,520597984.0,6.5
A46341010,434.27746390458253,20754120,1238257152.0,0.0
A10027704,292.53314483191957,18622660,1214442752.0,5.0
A46383202,449.87440406996353,9334480,981803840.0,0.0
A46390707,311.65376040935706,50186540,1759197440.0,0.0
A10026318,251.1295830457915,90247936,6453677100.0,60.0
A46381705,24.68474803304809,427840,618624512.0,10.0
A10020568,0.0,0,0.0,0.0
A46379109,426.74642603670287,13468800,533551520.0,10.0
A46381704,326.21720390363714,4104000,305940864.0,0.0
A46383325,582.7802298922282,37366120,13254045.0,0.0
A46372007,479.09922714755265,21572880,690371520.0,0.0
A46371804,307.7200474495848,16861520,483055008.0,0.0
A46391330,0.0,0,0.0,0.0
A10024274,101.67336958270326,12640440,374968672.0,38.29
A46340010,422.714176764681,9976900,110958928.0,3.0
A46383017,594.464890479931,46164360,1013237760.0,0.0
A46383012,452.0263747857049,34277160,1554216064.0,0.0
A10023883,108.05322707882407,1901911,157436528.0,0.0
A46379107,527.3093364945935,14678710,815172416.0,4.66
A46379108,374.90764470671,52224260,1309675392.0,5.6
A46383010,509.9156261984915,23932380,637963968.0,5.41
A46382710,433.93044119454345,17654460,658960448.0,15.0
A46381709,708.2083196855552,12972960,344787584.0,60.0
A46377908,369.65614852437625,100291040,4102763520.0,4.1588
A46379110,0.0,0,264165440.0,0.0
A46383323,309.119283065513,22006820,544772096.0,35.41
A46372312,0.0,0,0.0,0.0
A46372305,639.9181773294773,18144240,390430528.0,25.0
A10022880,617.4161491273052,5201410,193313536.0,0.0
A46393115,335.1075389365115,19429200,429883072.0,20.0
A46340007,0.0,0,0.0,0.0
A46383519,615.0464604146525,22901870,984850816.0,0.0
A46379106,532.4665689856631,28709000,911422720.0,3.0
A46379104,345.3799812082021,6248960,579564032.0,4.24
A46385411,43.72135494758722,4366690,231595376.0,0.0
A46382916,481.08398398478397,60198520,2463834110.0,0.0
